Field,English,German,Italian,Slovene,Polish,French,Swedish,Dutch,Finnish,Croatian
0,Calling for Pan-European commitment for rapid and sustained reduction in SARS-CoV-2 infections,WissenschaftlerInnen fordern europäische Strategie zur raschen und nachhaltigen Reduktion der COVID-19-Fallzahlen ,Appello per un impegno pan-europeo per una riduzione rapida e duratura delle infezioni da SARS-CoV-2,Poziv k vseevropski zavezanosti za hitro in trajno zmanjšanje SARS-CoV-2 okužb,Wzywamy do podjęcia ogólnoeuropejskiego zobowiązania na rzecz szybkiego i trwałego zmniejszenia liczby zakażeń SARS-CoV-2,Appel à un engagement paneuropéen pour une réduction rapide et durable des infections par le SARS-Cov-2,Calling for Pan-European commitment for rapid and sustained reduction in SARS-CoV-2 infections,Oproep tot pan-Europese inzet voor een snelle en duurzame vermindering van SARS-CoV-2-infecties ,Vaadimme koko Euroopan sitoutumista SARS-CoV-2-infektioiden nopeaan ja jatkuvaan vähentämiseen,Poziv na paneuropsku suradnju radi bržeg i trajnog smanjenja broja zaraženih virusom SARS-CoV-2
1,"Across Europe, the SARS-CoV-2 pandemic is causing excess deaths, placing a burden on societies and health systems, and harming the economy. Yet, European governments still have to develop a common vision to guide the management of the pandemic. Overwhelming evidence shows that not only public health, but also society and the economy benefit greatly from low COVID-19 case numbers. Vaccines will help control the virus, but not until late 2021. If we do not act now, further waves of infection are to be expected, with consequential further damage to health, society, jobs and businesses. Given open borders within Europe, a single country alone cannot keep the number of COVID-19 cases low; thus joint action and common goals among countries are essential. We, therefore, call for a strong, coordinated European response and clearly defined medium- and long-term goals.","In allen Ländern Europas führt die COVID-19 Pandemie zu vermehrten Todesfällen, belastet die Gesellschaften, ihre Gesundheitssysteme und beeinträchtig ihre Volkswirtschaften. Bislang haben die Regierungen in Europa keine gemeinsame Vision für den Umgang mit der COVID-19-Pandemie entwickelt. Es liegt überwältigende wissenschaftliche Evidenz dafür vor, dass nicht nur für die öffentliche Gesundheit, sondern auch für die Gesellschaften und Volkswirtschaften niedrige COVID-19 Fallzahlen von großem Nutzen sind. Auch wenn Impfstoffe helfen werden, das Virus unter Kontrolle zu bringen, ist damit nicht vor Ende 2021 zu rechnen. Wenn wir nicht jetzt entschlossen handeln, ist mit weiteren Infektionswellen zu rechnen, und als Konsequenz mit weiteren Schäden für Gesundheit, Gesellschaft, Arbeitsplätze und Betriebe. Angesichts offener Grenzen kann jedoch kein Land allein die Infektionszahlen niedrig halten, daher sind gerade gemeinsame Ziele und gemeinsames Handeln essentiell. Wir fordern daher eine starke, koordinierte europäische Antwort mit klar definierten mittel- und langfristigen Zielen.","In tutta Europa, la pandemia di SARS-CoV-2 sta causando un numero eccessivo di morti, gravando sulle società e sui sistemi sanitari, e danneggiando l’economia. Tuttavia, i governi europei devono ancora sviluppare una visione comune per guidare la gestione della pandemia. Evidenze schiaccianti dimostrano che non solo la salute pubblica, ma anche la società e l’economia traggono vantaggio da un basso numero di casi di COVID-19. I vaccini aiuteranno a tenere il virus sotto controllo, ma non prima del tardo 2021. Se non agiamo ora, dobbiamo attenderci ulteriori ondate di infezione, che causeranno ulteriori danni alla salute, alla società, al lavoro e alle imprese. Poiché all’interno dell’Europa le frontiere sono aperte, un singolo Paese non può da solo mantenere basso il numero di casi di COVID-19; dunque, un’azione congiunta e obiettivi comuni a tutti i Paesi sono fondamentali. Noi, quindi, chiediamo una risposta forte e coordinata a livello europeo, con obiettivi chiaramente definiti a medio e a lungo termine.","Pandemija SARS-CoV-2 po vsej Evropi povzroča številne smrtne žrtve, obremenjuje družbo in zdravstveni sistem, ter škoduje gospodarstvu. Kljub temu evropske vlade še vedno niso razvile skupno vizijo, ki bi vodila upravljanje pandemije. Mnogi dokazi kažejo, da nizko število primerov COVID-19 ne koristi le javnemu zdravju, temveč tudi družbi in gospodarstvu. Cepiva bodo pomagala nadzorovati virus, vendar šele konec leta 2021. Če ne bomo ukrepali zdaj, je pričakovati nove valove okužbe, kar bo posledično povzročilo nadaljnjo škodo zdravju, družbi, delovnim mestom in podjetjem. Glede na odprte meje v Evropi nobena država sama ne more obdržati nizkega števila primerov COVID-19; zato so skupni ukrepi in skupni cilji med državami ključnega pomena. Zato pozivamo k močnemu, usklajenemu evropskemu odzivu in jasno opredeljenim srednje in dolgoročnim ciljem.","Pandemia SARS-CoV-2 sieje spustoszenie w całej Europie – powoduje nadmierną liczbę zgonów, stanowi obciążenie dla społeczeństwa i systemów opieki zdrowotnej oraz wyrządza szkody gospodarce. Jak dotąd rządy europejskie nie wypracowały jednak wspólnej wizji, która pozwoliłaby zarządzać pandemią. Przytłaczające dowody wskazują, że niska liczba przypadków COVID-19 oznacza duże korzyści nie tylko dla zdrowia publicznego, ale także dla społeczeństwa i gospodarki. Szczepionki pomogą w zwalczeniu wirusa, ale w najlepszym wypadku dopiero pod koniec 2021 roku. Jeśli nie podejmiemy działań teraz, należy spodziewać się kolejnych fal zakażeń, które w rezultacie spowodują dalsze szkody dla zdrowia, społeczeństwa, miejsc pracy i przedsiębiorstw. Biorąc pod uwagę otwarte granice w Europie, jedno państwo nie jest w stanie samodzielnie utrzymać niskiej liczby przypadków COVID-19. Dlatego też niezbędne jest wspólne działanie i ustalenie wspólnych celów. Wzywamy zatem do zdecydowanej, skoordynowanej reakcji Europy, której przyświecają jasno określone cele średnio- i długoterminowe.               ","Dans toute l'Europe, la pandémie de SARS-Cov-2 entraîne une surmortalité, fait peser un fardeau sur nos sociétés et les systèmes de santé, et nuit à l'économie. Pourtant, les gouvernements européens doivent encore élaborer une vision commune pour guider la gestion de la pandémie. Des preuves indiscutables montrent que, non seulement la santé publique, mais la société et l'économie bénéficieraient grandement d’un nombre de cas de COVID-19 faible. Les vaccins permettront de contrôler le virus, mais pas avant la fin 2021. Si nous n'agissons pas maintenant, il faut s'attendre à de nouvelles vagues d'infection, avec les conséquences que cela implique pour la santé, la société, l'emploi et les entreprises. Compte tenu des frontières ouvertes entre pays Européens, un seul pays ne peut à lui seul maintenir le nombre de cas de COVID-19 à un faible niveau ; une action commune et des objectifs communs entre pays sont donc essentiels. C'est pourquoi nous appelons à une réponse européenne forte et coordonnée et à des objectifs clairement définis à moyen et long terme.","Över hela Europa orsakar SARS-CoV-2-pandemin överdödlighet, belastar samhällen och hälsosystem och skadar ekonomin. Trots detta är det viktigt att europeiska regeringar utvecklar en gemensam vision för att styra hanteringenen av pandemin. Överväldigande bevis talar för att inte bara folkhälsan utan också samhället och ekonomin drar mycket nytta av ett lågt antal COVID-19-infekterade. Vacciner kommer att hjälpa till att kontrollera viruset men inte förrän i slutet av 2021. Om vi inte agerar nu kan ytterligare infektionsvågor förväntas med fortsatta negativa effekter på hälsa, samhälle, jobb och företag. Med tanke på de öppna gränserna inom Europa kan ett enstaka land inte ensamt hålla nere antalet COVID-19-fall och undvika importfall. Det krävs därför gemensamma åtgärder och gemensamma mål, länderna emellan. Vi kräver därför en stark, samordnad europeisk plan och tydligt definierade mål på medellång och lång sikt","In heel Europa veroorzaakt de SARS-CoV-2-pandemie extra sterfgevallen, wat een druk geeft op de samenleving en de gezondheidsstelsels en de economie schaadt. Desondanks moeten Europese regeringen nog een gemeenschappelijke visie ontwikkelen om het management van de pandemie te sturen. Overweldigend bewijs toont aan dat niet alleen de volksgezondheid, maar ook de samenleving en de economie veel baat hebben bij lage aantallen COVID-19-gevallen. Vaccins helpen het virus onder controle te houden, maar pas eind 2021. Als we nu niet ingrijpen, zijn verdere infectiegolven te verwachten, met als gevolg verdere schade aan de gezondheid, de samenleving, de werkgelegenheid en het bedrijfsleven. Gezien de open grenzen binnen Europa, kan één land het aantal COVID-19-gevallen niet laag houden; daarom zijn gezamenlijke actie en gemeenschappelijke doelstellingen tussen landen essentieel. We pleiten daarom voor een sterke, gecoördineerde Europese respons en duidelijk omschreven doelstellingen op middellange en lange termijn.","Kaikkialla Euroopassa SARS-CoV-2-pandemia on kasvattanut kuolintapausten määrää, rasittanut yhteiskuntia ja terveydenhuoltojärjestelmiä, ja aiheuttanut taloudellista vahinkoa. Euroopan hallitusten on kuitenkin vielä kehitettävä yhteinen visio pandemian hallinnan ohjaamiseksi. Kiistämätön tutkimusnäyttö osoittaa, että kansanterveyden lisäksi myös yhteiskunta ja talous hyötyvät suuresti alhaisesta COVID-19-tartuntojen lukumäärästä. Rokotteet auttavat pandemian hallinnassa, mutta vasta vuoden 2021 lopulla. Jos emme toimi nyt, on odotettavissa uusia tartunta-aaltoja, jotka vahingoittavat entisestään terveyttä, yhteiskuntaa, työllisyyttä ja yrityksiä. Kun otetaan huomioon avoimet rajat Euroopan sisällä, yksi maa ei yksin kykene pitämään COVID-19-tapausten määrää alhaisena; täten maiden välinen yhteinen toiminta ja yhteiset tavoitteet ovat välttämättömiä. Siksi vaadimme vahvaa ja koordinoitua eurooppalaista toimintaa sekä selkeästi määriteltyjä keskipitkän ja pitkän aikavälin tavoitteita.","Pandemija bolesti COVID-19, uzrokovane virusom SARS-CoV-2, izazvala je diljem Europe ekscesivni broj smrtnih ishoda, opterećujući društveni i zdravstveni sustav, kao i gospodarstvo. Stoga vlade europskih zemalja moraju osmisliti zajedničku strategiju u borbi protiv ove pandemije. Brojni dokazi potvrđuju da ne samo javno zdravstvo, već i društvo i gospodarstvo u cjelini imaju koristi od smanjenja broja slučajeva COVID-19. Cjepiva će doprinijeti kontroli pandemije, ali ne prije kraja 2021. godine. Ako odmah ne poduzmemo neke korake, mogli bi očekivati nove epidemijske valove koji će prouzročiti dodatnu štetu na zdravlje pučanstva, kao i društvo, tržište rada i gospodarstvo. Kako su granice unutar Europe otvorene, države ne mogu samostalno održavati mali broj slučajeva COVID-19 pa je nužno postaviti zajedničke ciljeve te zajednički djelovati. Stoga pozivamo na snažan i koordinirani odgovor Europe uz jasno definiranje srednjoročnih i dugoročnih ciljeva."
2,"Achieving and maintaining low case numbers should be the common, pan-European goal because:","Die oberste Prämisse sollte sein, in ganz Europa niedrige Fallzahlen zu erreichen und zu erhalten: ",Raggiungere e mantenere un numero basso di casi dovrebbe essere l’obiettivo comune pan-europeo perché:,"Doseganje in vzdrževanje majhnega števila primerov bi moral biti skupni vseevropski cilj, ker:","Osiągnięcie i utrzymanie niskiej liczby zakażeń powinno być wspólnym, ogólnoeuropejskim celem z poniższych względów.","Atteindre et maintenir un faible nombre de cas devrait être l'objectif commun, paneuropéen, pour les raisons suivantes :","Att uppnå och upprätthålla ett lågt antal infekterade bör vara det gemensamma, europeiska målet eftersom","Het bereiken en behouden van lage aantallen infecties zou het gemeenschappelijke, pan-Europese doel moeten zijn, want: ","Tartuntojen lukumäärän saaminen alas ja tartuntojen lukumäärän alhaalla pitämisen pitäisi olla koko Euroopan tavoite, koska:","Postizanje i trajno održavanje malog broja slučajeva trebao bi biti zajednički, paneuropski cilj zato što:"
3,Low case numbers save lives,Niedrige Fallzahlen retten Leben: ,Un basso numero di casi salva vite: ,Majhno število primerov rešuje življenja: ,Niska liczba zakażeń pozwala ratować życie: ,Un faible nombre de cas sauve des vies : ,Ett lågt antal infekterade personer räddar liv: ,Lage aantallen infecties redden levens: ,Alhainen tartuntojen määrä pelastaa ihmishenkiä: ,Mali broj slučajeva spašava živote: 
4,"Fewer people will die or suffer from long-term effects of COVID-19. In addition, medical resources will not be diverted from other patients in need.",Weniger Menschen müssen aufgrund schweren Verlaufs sterben oder an möglichen Langzeitfolgen durch COVID-19 leiden. Zudem müssen medizinische Ressourcen nicht von anderen Krankheiten abgezogen werden. ,"Meno persone moriranno o soffriranno degli effetti a lungo termine del COVID-19. Inoltre, risorse e strutture mediche torneranno a essere disponibili per altri pazienti che ne hanno bisogno.     ",Manj ljudi bo umrlo ali trpelo zaradi dolgoročnih učinkov okužbe s COVID-19. Poleg tega zdravstveni viri ne bodo preusmerjeni od drugih pacientov v stiski. ,mniej osób umrze lub będzie cierpieć z powodu długotrwałych skutków COVID-19. Ponadto zasoby medyczne nie będą przekierowywane kosztem innych pacjentów potrzebujących pomocy.,"Moins de personnes mourront ou souffriront des effets à long terme de la COVID-19. De plus, les ressources médicales ne seront pas détournées d'autres patients nécessitant des soins. ",Färre människor kommer att dö eller drabbas av långvariga effekter av COVID-19. Dessutom kommer medicinska resurser inte att tas från andra patienter med konkurrerande behov ,er zullen minder mensen overlijden of lijden aan de langetermijneffecten van COVID-19. Bovendien zullen de medische middelen beschikbaar blijven voor andere patiënten in nood.,Ihmisiä kuolee vähemmän ja harvempi kärsii COVID-19:n pitkäaikaisista vaikutuksista. Lääketieteellisiä resursseja ei tällöin myöskään tarvitse ohjata pois muilta apua tarvitsevilta potilailta.,"Manje će ljudi umrijeti ili patiti od dugoročnih posljedica COVID-19. Uz to, zdravstveni resursi neće biti uskraćeni ostalim bolesnicima kojima su potrebni."
5,Low case numbers save jobs and businesses,Niedrige Fallzahlen sichern Arbeitsplätze und Unternehmen: ,Un basso numero di casi salva posti di lavoro e imprese: ,Majhno število primerov rešuje delovna mesta in podjetja: ,Niska liczba zakażeń pozwala utrzymać miejsca pracy i ratować przedsiębiorstwa: ,Un faible nombre de cas permet de sauver des emplois et des entreprises : ,Ett lågt antal fall sparar jobb och företag: ,Lage aantallen infecties redden banen en bedrijven: ,Alhaiset tapaukset pelastavat työpaikkoja ja yrityksiä: ,Mali broj slučajeva doprinosi očuvanju radnih mjesta i gospodarstva: 
6,"The economic impact of COVID-19 is driven by viral circulation within the population, and economies can and will recover quickly once the virus is greatly reduced or eliminated (e.g. China and Australia). In contrast, the economic costs of lockdowns increase proportionally with their duration ","Die wirtschaftlichen Folgen hängen unmittelbar davon ab, wie sich das Virus in der Bevölkerung ausbreitet. Länder wie China und Australien haben gezeigt, dass sich Volkswirtschaften rasch erholen, sobald die Verbreitung des Virus stark reduziert oder gestoppt ist. Umgekehrt steigen die wirtschaftlichen Kosten von Lockdowns mit ihrer Dauer ","I danni economici di COVID-19 sono dovuti alla diffusione del virus nella popolazione, mentre le economie saranno in grado di riprendersi rapidamente una volta che il virus sarà notevolmente ridotto o eliminato (si pensi a Cina e Australia). Invece, i costi economici del lockdown crescono con la sua durata ","Ekonomski vpliv COVID-19 je odvisen od širjenja virusa med prebivalstvom, in gospodarstva se lahko in se bodo hitro obnovila, ko se bo vpliv virusa močno zmanjšal ali izločil (npr. Kitajska in Avstralija). Nasprotno pa se ekonomski stroški ukrepov s svojim trajanjem povečujejo ","wpływ COVID-19 na gospodarkę jest napędzany przez rozprzestrzenianie się wirusa w populacji. Gospodarki mogą się szybko odrodzić i tak się stanie, gdy wirus zostanie znacznie stłumiony lub wyeliminowany (np. Chiny i Australia). Z kolei koszty ekonomiczne całkowitego zamknięcia gospodarki rosną, im dłużej ono trwa ","l'impact économique de la COVID-19 est déterminé par la circulation du virus au sein de la population, et les économies peuvent se rétablir rapidement une fois que le virus aura été fortement réduit ou éliminé (par exemple en Chine et en Australie). En revanche, les coûts économiques des mesures de confinement augmentent avec leur durée ","De ekonomiska effekterna av COVID-19 påverkas starkt av fortsatt spridning av virus inom befolkningen, och ekonomier kan och kommer att återhämta sig snabbt när viruset har minskat kraftigt eller eliminerats (t.ex. Kina och Australien). Däremot ökar de ekonomiska kostnaderna för lockdowns med deras varaktighet ","de economische impact van COVID-19 wordt bepaald door de virale circulatie binnen de bevolking, en economieën kunnen en zullen snel herstellen zodra het virus sterk is verminderd of geëlimineerd (zie bijvoorbeeld China en Australië). Daarentegen nemen de economische kosten van lockdowns toe naarmate ze langer duren ","COVID-19:n taloudelliset vaikutukset johtuvat viruksen leviämisestä väestössä, ja kansantaloudet voivat toipua ja elpyä nopeasti, kun virus selkeästi vähenee tai poistuu (esim. Kiina ja Australia). Sitä vastoin sulkutoimien taloudelliset kustannukset kasvavat niiden keston myötä ","Ekonomski učinak COVID-19 posljedica je cirkulacije virusa u populaciji, dok se gospodarstvo može i hoće brzo oporaviti kada se cirkulacija virusa reducira ili eliminirana (kao npr. u Kini i Australiji). S druge strane, ekonomski troškovi tzv. zatvaranja (engl. lockdown) povećavaju se s duljinom njegovog trajanja "
7,Controlling the spread is much more effective at low case numbers:,Bei niedrigen Fallzahlen kann die Ausbreitung effektiver kontrolliert werden: ,Gli strumenti per controllare il contagio sono molto più efficaci con un basso numero di casi: ,Nadzor širjenja je veliko bolj učinkovit pri majhnem številu primerov: ,Kontrola rozprzestrzeniania się wirusa jest znacznie skuteczniejsza przy niskiej liczbie zakażeń: ,Le contrôle de la propagation est beaucoup plus efficace lorsque le nombre de cas est faible :,Kontrollen av spridningen är mycket effektivare vid lågt antal infekterade: ,De beheersing van de verspreiding is veel effectiever bij lage aantallen infecties: ,Leviämisen hallinta on huomattavasti tehokkaampaa tapausmäärien ollessa matalalla: ,Kontrola širenja bolesti je učinkovitija pri malom broju slučajeva: 
